date,avg_SDS_P1,avg_SDS_P2,samples
2024-01-01,65.94,32.37,589
2024-01-02,31.6,19.34,571
2024-01-03,27.88,17.98,588
2024-01-04,18.55,11.11,589
2024-01-05,26.54,15.08,589
2024-01-06,34.19,19.83,591
2024-01-07,47.89,25.58,591
2024-01-08,15.62,9.4,591
2024-01-09,14.93,7.69,591
2024-01-10,18.54,9.67,590
2024-01-11,41.49,21.93,590
2024-01-12,30.29,16.55,592
2024-01-13,29.91,17.17,590
2024-01-14,49.28,26.93,591
2024-01-15,63.57,33.05,591
2024-01-16,75.27,36.48,590
2024-01-17,62.43,31.5,590
2024-01-18,57.49,26.54,590
2024-01-19,77.81,26.06,589
2024-01-20,8.56,4.45,592
2024-01-21,19.81,11.46,590
2024-01-22,17.04,9.5,590
2024-01-23,33.83,19.81,591
2024-01-24,43.05,24.51,591
2024-01-25,94.98,51.36,592
2024-01-26,132.49,68.03,592
2024-01-27,107.46,55.35,591
2024-01-28,96.86,45.67,591
2024-01-29,78.93,38.84,589
2024-01-30,57.5,30.26,589
2024-01-31,67.95,36.03,591
2024-02-01,56.73,28.94,565
2024-02-02,73.59,37.89,581
2024-02-03,63.98,35.19,591
2024-02-04,38.41,23.47,589
2024-02-05,49.75,25.65,591
2024-02-06,114.65,53.34,589
2024-02-07,44.06,23.87,562
2024-02-08,35.91,19.32,101
2024-02-19,148.7,83.03,425
2024-02-20,133.35,69.23,590
2024-02-21,52.7,27.45,589
2024-02-22,57.62,28.59,591
2024-02-23,4.58,2.81,591
2024-02-24,9.71,5.26,591
2024-02-25,9.41,5.75,591
2024-02-26,5.29,3.27,590
2024-02-27,4.55,2.79,591
2024-02-28,8.31,5.23,591
2024-02-29,14.98,7.37,590
2024-03-01,7.75,3.93,575
2024-03-02,11.96,7.39,588
2024-03-03,6.64,3.19,588
2024-03-04,8.47,5.18,589
2024-03-05,9.85,5.66,581
2024-03-06,7.2,4.08,589
2024-03-07,17.11,10.39,582
2024-03-08,24.5,13.96,581
2024-03-09,14.64,9.32,584
2024-03-10,10.37,6.65,576
2024-03-11,7.34,4.34,578
2024-03-12,6.24,3.52,580
2024-03-13,23.12,13.15,578
2024-03-14,29.99,16.84,585
2024-03-15,11.16,5.2,583
2024-03-16,16.37,10.01,588
2024-03-17,25.87,16.59,581
2024-03-18,27.33,15.77,587
2024-03-19,76.08,38.95,586
2024-03-20,55.43,30.35,579
2024-03-21,61.41,32.66,588
2024-03-22,72.13,38.17,589
2024-03-23,39.23,21.18,589
2024-03-24,1.73,0.85,583
2024-03-25,4.57,2.4,586
2024-03-26,11.58,6.88,586
2024-03-27,18.0,11.1,592
2024-03-28,8.05,4.21,584
2024-03-29,15.14,9.03,583
2024-03-30,46.16,15.26,584
2024-03-31,22.68,4.05,590
2024-04-01,14.16,2.88,580
2024-04-02,2.94,1.42,586
2024-04-03,5.67,2.66,588
2024-04-04,7.06,2.96,588
2024-04-05,9.03,3.52,587
2024-04-06,11.82,6.7,582
2024-04-07,10.94,7.0,589
2024-04-08,19.49,13.62,588
2024-04-09,35.43,23.98,586
2024-04-10,3.6,2.13,552
2024-04-11,8.72,5.32,539
2024-04-12,10.53,6.15,511
2024-04-13,13.02,8.31,587
2024-04-14,12.39,8.03,587
2024-04-15,9.03,4.32,589
2024-04-16,6.94,3.03,588
2024-04-17,5.26,2.47,587
2024-04-18,3.62,1.76,587
2024-04-19,5.48,2.8,585
2024-04-20,3.35,1.57,584
2024-04-21,2.03,1.18,586
2024-04-22,8.19,4.92,582
2024-04-23,15.92,9.45,583
2024-04-24,15.11,9.76,589
2024-04-25,8.65,5.68,582
2024-04-26,9.96,6.81,586
2024-04-27,10.17,6.93,588
2024-04-28,8.61,5.3,586
2024-04-29,8.32,3.12,590
2024-04-30,9.9,4.3,585
2024-05-01,16.04,11.25,581
2024-05-02,5.78,3.51,588
2024-05-03,4.56,2.99,589
2024-05-04,2.51,1.71,589
2024-05-05,4.58,2.44,587
2024-05-06,4.53,1.99,588
2024-05-07,9.41,6.59,585
2024-05-08,10.31,7.42,586
2024-05-09,3.63,2.26,589
2024-05-10,7.5,5.0,588
2024-05-11,10.03,6.32,587
2024-05-12,9.18,6.3,589
2024-05-13,7.54,5.35,580
2024-05-14,20.53,15.72,587
2024-05-15,6.09,4.32,589
2024-05-16,5.21,3.38,553
2024-05-17,2.61,1.27,588
2024-05-18,3.97,2.32,590
2024-05-19,5.44,3.34,584
2024-05-20,9.89,5.49,584
2024-05-21,5.38,2.87,589
2024-05-22,8.2,3.44,582
2024-05-23,6.53,3.74,589
2024-05-24,8.74,5.42,589
2024-05-25,3.03,2.05,589
2024-05-26,2.73,1.93,590
2024-05-27,5.7,3.97,586
2024-05-28,9.35,7.05,587
2024-05-29,8.15,5.9,590
2024-05-30,15.97,11.69,574
2024-05-31,3.85,2.26,590
2024-06-01,4.37,1.9,583
2024-06-02,5.76,2.44,590
2024-06-03,4.43,2.95,589
2024-06-04,4.79,2.81,582
2024-06-05,6.21,4.31,586
2024-06-06,7.32,5.16,567
2024-06-07,13.8,11.03,588
2024-06-08,16.72,13.01,588
2024-06-09,18.98,10.57,587
2024-06-10,10.44,3.72,586
2024-06-11,6.4,3.03,589
2024-06-12,2.69,1.32,588
2024-06-13,3.75,2.41,586
2024-06-14,7.31,4.44,588
2024-06-15,8.21,5.25,588
2024-06-16,4.57,2.69,590
2024-06-17,6.19,3.67,584
2024-06-18,9.02,5.83,589
2024-06-19,9.14,4.98,586
2024-06-20,15.15,5.59,586
2024-06-21,28.95,10.8,580
2024-06-22,4.78,1.57,576
2024-06-23,2.04,0.67,586
2024-06-24,5.19,2.55,583
2024-06-25,11.41,7.65,587
2024-06-26,5.41,3.34,590
2024-06-27,6.42,4.51,589
2024-06-28,8.24,5.72,590
2024-06-29,17.18,13.4,588
2024-06-30,13.14,7.1,588
2024-07-01,9.85,4.74,585
2024-07-02,6.62,3.52,588
2024-07-03,4.9,3.25,588
2024-07-04,10.82,7.99,586
2024-07-05,6.54,4.47,586
2024-07-06,6.86,4.67,588
2024-07-07,6.05,3.73,588
2024-07-08,7.73,5.45,584
2024-07-09,10.22,7.39,590
2024-07-10,10.71,7.77,589
2024-07-11,12.41,8.69,585
2024-07-12,5.49,3.04,586
2024-07-13,5.58,3.12,589
2024-07-14,5.02,3.04,588
2024-07-15,6.04,3.55,588
2024-07-16,6.89,4.2,589
2024-07-17,8.36,5.02,590
2024-07-18,9.14,6.22,583
2024-07-19,11.11,8.13,583
2024-07-20,8.01,5.59,589
2024-07-21,6.23,4.28,588
2024-07-22,6.7,3.82,589
2024-07-23,6.72,3.93,586
2024-07-24,8.97,6.0,587
2024-07-25,5.6,3.52,587
2024-07-26,5.42,2.87,586
2024-07-27,9.67,6.13,590
2024-07-28,10.14,7.53,586
2024-07-29,6.76,4.17,584
2024-07-30,10.96,5.77,581
2024-07-31,16.23,8.01,571
2024-08-01,10.23,6.67,580
2024-08-02,9.07,4.86,582
2024-08-03,6.78,3.57,580
2024-08-04,6.5,3.82,577
2024-08-05,6.9,3.78,572
2024-08-06,9.34,5.71,577
2024-08-07,10.87,7.28,568
2024-08-08,11.04,7.79,580
2024-08-09,10.23,7.26,577
2024-08-10,10.48,7.71,576
2024-08-11,10.4,7.72,583
2024-08-12,10.46,7.77,573
2024-08-13,8.99,6.26,575
2024-08-14,8.04,3.89,581
2024-08-15,7.05,4.03,570
2024-08-16,8.73,4.53,578
2024-08-17,10.51,3.76,574
2024-08-18,5.79,2.18,575
2024-08-19,4.69,2.22,578
2024-08-20,5.58,3.1,573
2024-08-21,7.73,4.76,579
2024-08-22,12.32,8.3,573
2024-08-23,13.63,9.44,578
2024-08-24,13.83,9.52,581
2024-08-25,12.54,8.46,577
2024-08-26,6.96,3.92,578
2024-08-27,10.0,6.3,577
2024-08-28,12.17,8.66,571
2024-08-29,13.03,9.63,579
2024-08-30,12.75,9.14,577
2024-08-31,14.92,10.99,573
2024-09-01,12.7,9.15,580
2024-09-02,11.49,8.05,580
2024-09-03,8.94,5.82,580
2024-09-04,10.82,7.17,581
2024-09-05,7.88,5.03,579
2024-09-06,8.13,5.16,574
2024-09-07,5.77,3.33,578
2024-09-08,12.48,7.26,577
2024-09-09,2.62,1.15,579
2024-09-10,2.76,1.04,574
2024-09-11,4.95,2.49,579
2024-09-12,3.19,1.77,577
2024-09-13,2.26,0.93,579
2024-09-14,1.2,0.4,581
2024-09-15,3.41,1.6,581
2024-09-16,4.1,1.61,582
2024-09-17,3.4,1.56,568
2024-09-18,5.53,3.3,577
2024-09-19,4.64,2.38,573
2024-09-20,8.07,4.48,577
2024-09-21,10.08,6.58,582
2024-09-22,13.03,9.2,581
2024-09-23,18.78,13.24,579
2024-09-24,15.33,10.38,573
2024-09-25,6.87,3.78,560
2024-09-26,17.02,9.94,578
2024-09-27,17.77,9.35,577
2024-09-28,2.3,0.76,584
2024-09-29,1.86,0.65,579
2024-09-30,3.97,1.66,582
2024-10-01,14.26,8.8,581
2024-10-02,26.54,17.93,578
2024-10-03,12.85,7.88,576
2024-10-04,10.11,6.91,584
2024-10-05,12.54,8.58,580
2024-10-06,13.38,8.76,579
2024-10-07,18.94,12.97,580
2024-10-08,19.55,12.13,579
2024-10-09,27.17,10.83,578
2024-10-10,3.86,1.72,581
2024-10-11,4.31,2.02,584
2024-10-12,3.97,2.13,586
2024-10-13,6.08,3.91,579
2024-10-14,11.89,7.49,579
2024-10-15,33.82,20.66,576
2024-10-16,29.13,18.19,581
2024-10-17,14.3,9.61,580
2024-10-18,5.61,3.37,583
2024-10-19,3.68,1.89,581
2024-10-20,7.57,3.78,582
2024-10-21,15.15,8.06,581
2024-10-22,35.06,21.55,579
2024-10-23,38.82,24.16,583
2024-10-24,35.5,21.73,582
2024-10-25,46.24,30.17,584
2024-10-26,11.02,7.02,582
2024-10-27,16.65,9.96,578
2024-10-28,18.3,10.65,580
2024-10-29,21.27,12.44,579
2024-10-30,19.82,11.12,578
2024-10-31,26.66,14.97,578
2024-11-01,18.78,10.31,577
2024-11-02,21.03,11.88,573
2024-11-03,23.02,13.26,566
2024-11-04,48.1,26.15,553
2024-11-05,53.55,27.39,552
2024-11-06,46.44,25.27,550
2024-11-07,40.65,22.77,564
2024-11-08,58.09,31.16,558
2024-11-09,86.31,43.86,554
2024-11-10,39.94,24.4,549
2024-11-11,18.98,10.72,559
2024-11-12,27.89,14.31,541
2024-11-13,33.13,17.78,552
2024-11-14,48.38,23.97,531
2024-11-15,67.97,32.69,576
2024-11-16,105.06,48.03,581
2024-11-17,82.51,41.58,575
2024-11-18,122.09,57.61,566
2024-11-19,75.03,40.0,564
2024-11-20,45.35,23.96,557
2024-11-21,4.26,2.2,559
2024-11-22,5.58,3.1,543
2024-11-23,5.55,3.1,548
2024-11-24,10.63,6.44,558
2024-11-25,22.63,13.9,564
2024-11-26,49.67,29.52,592
2024-11-27,67.67,35.43,590
2024-11-28,41.63,24.46,592
2024-11-29,43.88,22.95,591
2024-11-30,48.28,26.21,592
2024-12-01,42.71,23.45,508
2024-12-02,20.23,11.34,591
2024-12-03,29.88,17.57,591
2024-12-04,31.78,17.42,589
2024-12-05,36.54,17.49,553
2024-12-06,53.17,27.11,587
2024-12-07,64.3,32.7,589
2024-12-08,71.14,35.52,587
2024-12-09,44.0,20.47,587
2024-12-10,36.02,19.69,578
2024-12-11,28.44,15.92,584
2024-12-12,46.94,25.27,583
2024-12-13,71.31,36.24,574
2024-12-14,65.44,33.0,579
2024-12-15,75.1,33.5,589
2024-12-16,35.71,19.95,571
2024-12-17,28.48,16.78,573
2024-12-18,73.57,40.67,572
2024-12-19,66.14,31.67,520
2024-12-20,3.04,1.51,560
2024-12-21,10.72,5.93,576
2024-12-22,23.4,13.84,588
2024-12-23,2.41,1.35,585
2024-12-24,3.96,2.15,584
2024-12-25,11.2,6.24,591
2024-12-26,12.19,7.22,521
2024-12-27,16.04,9.09,590
2024-12-28,16.83,10.17,590
2024-12-29,20.13,12.08,588
2024-12-30,20.94,11.96,536
2024-12-31,40.37,22.05,552
